dyad,background,months,task,gesture,count_raw,count,ct_raw,ct,pro_rata,id
b01,Bengali,10,five,reach,5,5,1,1,no,3
b01,Bengali,10,five,point,0,0,0,0,no,2
b01,Bengali,10,five,ho_gv,0,0,0,0,no,1
b01,Bengali,10,tp1,reach,0,0,0,0,no,6
b01,Bengali,10,tp1,point,0,0,0,0,no,5
b01,Bengali,10,tp1,ho_gv,0,0,0,0,no,4
b01,Bengali,10,tp2,reach,0,0,0,0,no,9
b01,Bengali,10,tp2,point,0,0,0,0,no,8
b01,Bengali,10,tp2,ho_gv,0,0,0,0,no,7
b01,Bengali,11,five,reach,7,8,3,3,yes,3
b01,Bengali,11,five,point,1,1,0,0,yes,2
b01,Bengali,11,five,ho_gv,0,0,0,0,yes,1
b01,Bengali,11,tp1,reach,0,0,0,0,no,6
b01,Bengali,11,tp1,point,0,0,0,0,no,5
b01,Bengali,11,tp1,ho_gv,0,0,0,0,no,4
b01,Bengali,11,tp2,reach,0,0,0,0,no,9
b01,Bengali,11,tp2,point,0,0,0,0,no,8
b01,Bengali,11,tp2,ho_gv,0,0,0,0,no,7
b01,Bengali,12,five,reach,0,0,0,0,no,3
b01,Bengali,12,five,point,0,0,0,0,no,2
b01,Bengali,12,five,ho_gv,0,0,0,0,no,1
b01,Bengali,12,tp1,reach,0,0,0,0,no,6
b01,Bengali,12,tp1,point,0,0,0,0,no,5
b01,Bengali,12,tp1,ho_gv,1,1,0,0,no,4
b01,Bengali,12,tp2,reach,0,0,0,0,no,9
b01,Bengali,12,tp2,point,0,0,0,0,no,8
b01,Bengali,12,tp2,ho_gv,2,2,0,0,no,7
b02,Bengali,10,five,reach,2,2,0,0,no,12
b02,Bengali,10,five,point,1,1,0,0,no,11
b02,Bengali,10,five,ho_gv,0,0,0,0,no,10
b02,Bengali,10,tp1,reach,0,0,0,0,no,15
b02,Bengali,10,tp1,point,0,0,0,0,no,14
b02,Bengali,10,tp1,ho_gv,0,0,0,0,no,13
b02,Bengali,10,tp2,reach,0,0,0,0,no,18
b02,Bengali,10,tp2,point,0,0,0,0,no,17
b02,Bengali,10,tp2,ho_gv,1,1,0,0,no,16
b02,Bengali,11,five,reach,2,2,1,1,no,12
b02,Bengali,11,five,point,2,2,0,0,no,11
b02,Bengali,11,five,ho_gv,0,0,0,0,no,10
b02,Bengali,11,tp1,reach,0,0,0,0,no,15
b02,Bengali,11,tp1,point,0,0,0,0,no,14
b02,Bengali,11,tp1,ho_gv,4,4,0,0,no,13
b02,Bengali,11,tp2,reach,0,0,0,0,no,18
b02,Bengali,11,tp2,point,0,0,0,0,no,17
b02,Bengali,11,tp2,ho_gv,10,10,0,0,no,16
b02,Bengali,12,five,reach,3,3,0,0,no,12
b02,Bengali,12,five,point,0,0,0,0,no,11
b02,Bengali,12,five,ho_gv,0,0,0,0,no,10
b02,Bengali,12,tp1,reach,0,0,0,0,no,15
b02,Bengali,12,tp1,point,0,0,0,0,no,14
b02,Bengali,12,tp1,ho_gv,6,6,0,0,no,13
b02,Bengali,12,tp2,reach,0,0,0,0,no,18
b02,Bengali,12,tp2,point,0,0,0,0,no,17
b02,Bengali,12,tp2,ho_gv,5,5,0,0,no,16
b03,Bengali,10,five,reach,4,4,0,0,no,21
b03,Bengali,10,five,point,0,0,0,0,no,20
b03,Bengali,10,five,ho_gv,0,0,0,0,no,19
b03,Bengali,10,tp1,reach,0,0,0,0,no,24
b03,Bengali,10,tp1,point,0,0,0,0,no,23
b03,Bengali,10,tp1,ho_gv,8,8,0,0,no,22
b03,Bengali,10,tp2,reach,0,0,0,0,no,27
b03,Bengali,10,tp2,point,0,0,0,0,no,26
b03,Bengali,10,tp2,ho_gv,0,0,0,0,no,25
b03,Bengali,11,five,reach,6,6,0,0,no,21
b03,Bengali,11,five,point,1,1,0,0,no,20
b03,Bengali,11,five,ho_gv,0,0,0,0,no,19
b03,Bengali,11,tp1,reach,0,0,0,0,no,24
b03,Bengali,11,tp1,point,0,0,0,0,no,23
b03,Bengali,11,tp1,ho_gv,5,5,0,0,no,22
b03,Bengali,11,tp2,reach,0,0,0,0,no,27
b03,Bengali,11,tp2,point,0,0,0,0,no,26
b03,Bengali,11,tp2,ho_gv,3,3,0,0,no,25
b03,Bengali,12,five,reach,4,6,0,0,yes,21
b03,Bengali,12,five,point,0,0,0,0,yes,20
b03,Bengali,12,five,ho_gv,0,0,0,0,yes,19
b03,Bengali,12,tp1,reach,0,0,0,0,no,24
b03,Bengali,12,tp1,point,0,0,0,0,no,23
b03,Bengali,12,tp1,ho_gv,4,4,0,0,no,22
b03,Bengali,12,tp2,reach,0,0,0,0,no,27
b03,Bengali,12,tp2,point,0,0,0,0,no,26
b03,Bengali,12,tp2,ho_gv,6,6,0,0,no,25
b04,Bengali,10,five,reach,0,0,0,0,no,30
