Tak_Mal_Stim	Answer	Corr_1_Wrong_0	Rater	Female_0
Takete	CORRECT	1	10MacI_12_10_11_59_.txt	0
Takete	CORRECT	1	10MacI_12_10_11_59_.txt	0
Takete	CORRECT	1	10MacI_12_10_11_59_.txt	0
Takete	CORRECT	1	10MacI_12_10_11_59_.txt	0
Takete	CORRECT	1	10MacI_12_10_11_59_.txt	0
Maluma	CORRECT	1	10MacI_12_10_11_59_.txt	0
Takete	CORRECT	1	10MacI_12_10_11_59_.txt	0
Takete	CORRECT	1	10MacI_12_10_11_59_.txt	0
Maluma	CORRECT	1	10MacI_12_10_11_59_.txt	0
Takete	CORRECT	1	10MacI_12_10_11_59_.txt	0
Maluma	CORRECT	1	10Marks_12_10_11_45_.txt	1
Maluma	CORRECT	1	10Marks_12_10_11_45_.txt	1
Maluma	CORRECT	1	10Marks_12_10_11_45_.txt	1
Takete	CORRECT	1	10Marks_12_10_11_45_.txt	1
Maluma	CORRECT	1	10Marks_12_10_11_45_.txt	1
Takete	CORRECT	1	10Marks_12_10_11_45_.txt	1
Takete	CORRECT	1	10Marks_12_10_11_45_.txt	1
Maluma	CORRECT	1	10Marks_12_10_11_45_.txt	1
Takete	CORRECT	1	10Marks_12_10_11_45_.txt	1
Maluma	CORRECT	1	10Marks_12_10_11_45_.txt	1
Takete	WRONG	0	10PIM_12_10_11_51_.txt	0
Maluma	WRONG	0	10PIM_12_10_11_51_.txt	0
Maluma	WRONG	0	10PIM_12_10_11_51_.txt	0
Takete	WRONG	0	10PIM_12_10_11_51_.txt	0
Maluma	WRONG	0	10PIM_12_10_11_51_.txt	0
Maluma	WRONG	0	10PIM_12_10_11_51_.txt	0
Takete	CORRECT	1	10PIM_12_10_11_51_.txt	0
Maluma	WRONG	0	10PIM_12_10_11_51_.txt	0
Maluma	WRONG	0	10PIM_12_10_11_51_.txt	0
Takete	WRONG	0	10PIM_12_10_11_51_.txt	0
Takete	CORRECT	1	11MacI_12_12_13_43_.txt	1
Takete	CORRECT	1	11MacI_12_12_13_43_.txt	1
