Subject,Procedure,Version,Contrast,Item,Condition,WordL,WordR,Words.ACC,Words.RT
1,PracticeProc,Prac,P,17,Unrelated,SWIM,TIDY,1,4838
1,PracticeProc,Prac,P,7,Related,BOX,CUBE,1,2273
1,PracticeProc,Prac,P,6,Related,EAGLE,HAWK,1,1606
1,PracticeProc,Prac,P,2,Related,HIGH,LOW,1,1379
1,PracticeProc,Prac,P,12,Unrelated,CRAWL,RING,1,2120
1,PracticeProc,Prac,P,14,Unrelated,MORNING,HOLD,1,1964
1,PracticeProc,Prac,P,10,Related,SEED,GROW,1,3118
1,PracticeProc,Prac,P,8,Related,TRIAL,JURY,1,1908
1,PracticeProc,Prac,P,16,Unrelated,STEP,POEM,1,3256
1,PracticeProc,Prac,P,11,Unrelated,WORK,OAK,1,2297
1,PracticeProc,Prac,P,20,Unrelated,GOAL,CART,1,3973
1,PracticeProc,Prac,P,3,Related,PASS,FAIL,1,1163
1,PracticeProc,Prac,P,15,Unrelated,CLIMB,POLICE,1,1417
1,PracticeProc,Prac,P,18,Unrelated,LAZY,SPOON,1,1382
1,PracticeProc,Prac,P,19,Unrelated,WAKE,WING,1,2976
1,PracticeProc,Prac,P,1,Related,ROOF,CEILING,1,1435
1,PracticeProc,Prac,P,4,Related,BROTHER,SISTER,1,1067
1,PracticeProc,Prac,P,13,Unrelated,FLUTE,TAKE,1,3268
1,PracticeProc,Prac,P,9,Related,LAKE,STREAM,1,1116
1,PracticeProc,Prac,P,5,Related,WARN,DANGER,1,1041
1,TrialProc,A2,F,38,Related,HOSPITAL,DOCTOR,1,1381
1,TrialProc,A1,F,27,Related,START,END,1,1941
1,TrialProc,B2,PB,1,Unrelated,HIT,BUNCH,1,1979
1,TrialProc,A1,F,29,Related,WANT,NEED,1,2109
1,TrialProc,B2,F,106,Unrelated,PLAY,FAR,1,1291
1,TrialProc,A2,LR,1,Unrelated,FALSE,COLLECT,0,1978
1,TrialProc,B2,F,95,Related,FILTH,DIRT,1,1309
1,TrialProc,A2,F,41,Related,GORILLA,APE,1,1237
1,TrialProc,A2,H,19,Unrelated,HELLO,BUY,1,2820
1,TrialProc,A1,F,1,Related,ADD,SUBTRACT,1,1720
1,TrialProc,B2,F,118,Related,WEATHER,CLIMATE,1,1247
1,TrialProc,B2,PB,18,Control,BACK,FAT,1,2456
1,TrialProc,A1,F,14,Related,HELP,ASSIST,1,1125
1,TrialProc,A2,F,56,Related,LARGE,HUGE,1,1235
1,TrialProc,B1,H,8,Unrelated,SALE,SHIP,1,1895
1,TrialProc,B2,F,114,Unrelated,ROOM,PAUSE,1,1853
1,TrialProc,B2,F,93,Related,PRIZE,AWARD,1,1353
1,TrialProc,B1,H,20,Control,HIRE,LISTEN,1,3638
1,TrialProc,A1,F,17,Related,LOUD,SOFT,1,1660
1,TrialProc,A2,F,51,Related,MARS,PLANET,1,1161
1,TrialProc,B2,LR,3,Unrelated,ORDER,RAW,1,2347
1,TrialProc,B2,F,120,Unrelated,SHUT,GLOBE,1,2637
1,TrialProc,A2,F,44,Related,PARENT,CHILD,1,1247
1,TrialProc,A2,PB,13,Control,PART,WIT,1,2433
1,TrialProc,B2,F,104,Related,MOUSE,RAT,1,1553
1,TrialProc,B1,F,70,Unrelated,FLOAT,SING,1,2823
1,TrialProc,A2,LR,13,Control,BEAM,DAY,1,3366
1,TrialProc,B1,F,61,Unrelated,AIR,UNDO,1,1873
1,TrialProc,B2,F,99,Unrelated,SPACE,WIFE,1,3045
1,TrialProc,B2,H,13,Control,SERVANT,MAZE,1,2213
