ppt_id,rt,logRT,idx,idx_c
qeywsx0thqnymzf,3023,8.014004994779459,1,-10
qeywsx0thqnymzf,2118,7.658227526161352,2,-9
qeywsx0thqnymzf,2154,7.675081857716334,3,-8
qeywsx0thqnymzf,936,6.841615476477592,4,-7
qeywsx0thqnymzf,568,6.342121418721152,5,-6
qeywsx0thqnymzf,1135,7.034387929915503,6,-5
qeywsx0thqnymzf,755,6.626717749249025,7,-4
qeywsx0thqnymzf,2359,7.765993079407675,8,-3
qeywsx0thqnymzf,653,6.481577129276431,9,-2
qeywsx0thqnymzf,1154,7.050989447068045,10,-1
qeywsx0thqnymzf,669,6.505784060128229,11,0
qeywsx0thqnymzf,627,6.440946540632921,12,1
qeywsx0thqnymzf,1451,7.280008252884188,13,2
qeywsx0thqnymzf,624,6.436150368369428,14,3
qeywsx0thqnymzf,833,6.725033642166843,15,4
qeywsx0thqnymzf,720,6.579251212010101,16,5
qeywsx0thqnymzf,1257,7.136483208590247,17,6
qeywsx0thqnymzf,651,6.478509642208569,18,7
qeywsx0thqnymzf,477,6.1675164908883415,19,8
qeywsx0thqnymzf,625,6.437751649736401,20,9
qeywsx0thqnymzf,1814,7.503289630675082,21,10
5llmc5ccfabu5c5,611,6.415096959171596,1,-10
5llmc5ccfabu5c5,679,6.520621127558696,2,-9
5llmc5ccfabu5c5,473,6.159095388491933,3,-8
5llmc5ccfabu5c5,698,6.548219102762372,4,-7
5llmc5ccfabu5c5,689,6.535241271013659,5,-6
5llmc5ccfabu5c5,472,6.156978985585555,6,-5
5llmc5ccfabu5c5,526,6.26530121273771,7,-4
5llmc5ccfabu5c5,505,6.22455842927536,8,-3
5llmc5ccfabu5c5,554,6.317164686747284,9,-2
5llmc5ccfabu5c5,502,6.218600119691729,10,-1
5llmc5ccfabu5c5,475,6.163314804034641,11,0
5llmc5ccfabu5c5,765,6.639875833826536,12,1
5llmc5ccfabu5c5,545,6.300785794663244,13,2
5llmc5ccfabu5c5,451,6.111467339502679,14,3
5llmc5ccfabu5c5,402,5.996452088619021,15,4
5llmc5ccfabu5c5,516,6.246106765481563,16,5
5llmc5ccfabu5c5,457,6.124683390894205,17,6
5llmc5ccfabu5c5,547,6.304448802421981,18,7
5llmc5ccfabu5c5,504,6.222576268071369,19,8
5llmc5ccfabu5c5,957,6.863803391452954,20,9
5llmc5ccfabu5c5,410,6.016157159698354,21,10
07s4mftvhzjqf1h,1504,7.315883504509785,1,-10
07s4mftvhzjqf1h,4358,8.379768515504566,2,-9
07s4mftvhzjqf1h,780,6.659293919683638,3,-8
07s4mftvhzjqf1h,500,6.214608098422191,4,-7
07s4mftvhzjqf1h,618,6.42648845745769,5,-6
07s4mftvhzjqf1h,18289,9.814055065204576,6,-5
07s4mftvhzjqf1h,1070,6.975413927455952,7,-4
07s4mftvhzjqf1h,445,6.09807428216624,8,-3
07s4mftvhzjqf1h,2006,7.603897968521881,9,-2
07s4mftvhzjqf1h,2042,7.621684998724611,10,-1
07s4mftvhzjqf1h,920,6.824373670043086,11,0
07s4mftvhzjqf1h,692,6.539585955617669,12,1
07s4mftvhzjqf1h,1369,7.221835825288449,13,2
07s4mftvhzjqf1h,420,6.040254711277414,14,3
07s4mftvhzjqf1h,794,6.677083461247136,15,4
07s4mftvhzjqf1h,2093,7.646353722445999,16,5
07s4mftvhzjqf1h,413,6.023447592961033,17,6
07s4mftvhzjqf1h,668,6.504288173536645,18,7
07s4mftvhzjqf1h,1599,7.377133712833954,19,8
07s4mftvhzjqf1h,2069,7.634820677745543,20,9
07s4mftvhzjqf1h,961,6.8679744089702925,21,10
gar0a18qkfrbpbn,1338,7.198931240688173,1,-10
